製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
142,-0.0273,0.9061,0.2763,-1.5487,,0.0273
143,-0.0219,0.8933,0.2892,-1.5487,,0.0219
144,-0.0643,0.8804,0.2763,-1.5487,,0.0643
145,-0.029,0.8804,0.2892,-1.5359,,0.029
146,-0.0112,0.8676,0.2763,-1.5359,,0.0112
147,0.0215,0.8676,0.2763,-1.523,,0.0215
148,0.0013,0.8547,0.2763,-1.523,,0.0013
149,0.0073,0.8418,0.2763,-1.523,,0.0073
150,0.0231,0.829,0.2763,-1.4973,,0.0231
151,0.0719,0.829,0.2763,-1.4973,,0.0719
152,0.1025,0.8161,0.2892,-1.4973,,0.1025
153,0.1247,0.8161,0.2892,-1.5102,,0.1247
154,0.1274,0.8033,0.2892,-1.5102,,0.1274
155,0.1435,0.8161,0.2892,-1.4973,,0.1435
156,0.1738,0.7904,0.2892,-1.4845,,0.1738
157,0.1632,0.7776,0.3149,-1.4845,,0.1632
158,0.1077,0.7776,0.302,-1.4588,,0.1077
159,0.0716,0.7776,0.302,-1.4588,,0.0716
160,0.0346,0.7776,0.302,-1.4588,,0.0346
161,0.0129,0.7647,0.302,-1.4459,,0.0129
162,-0.0382,0.7647,0.302,-1.4202,,0.0382
163,-0.0668,0.7519,0.302,-1.4331,,0.0668
164,-0.102,0.7647,0.302,-1.4331,,0.102
165,-0.1001,0.739,0.302,-1.3945,,0.1001
166,-0.1455,0.739,0.3149,-1.3945,,0.1455
167,-0.1712,0.739,0.3149,-1.3945,,0.1712
168,-0.18,0.7519,0.3277,-1.3688,,0.18
169,-0.1576,0.7519,0.3277,-1.3817,,0.1576
170,-0.0669,0.7519,0.3149,-1.3817,,0.0669
171,0.0015,0.7519,0.3149,-1.3688,,0.0015
172,0.0654,0.7647,0.3277,-1.356,,0.0654
173,0.0655,0.7647,0.3406,-1.3174,,0.0655
174,0.0089,0.7519,0.3277,-1.3302,,0.0089
175,0.0179,0.7647,0.3277,-1.3431,,0.0179
176,0.0594,0.7647,0.3277,-1.3431,,0.0594
177,0.1054,0.7904,0.3277,-1.3174,,0.1054
178,0.1508,0.7904,0.3149,-1.3174,,0.1508
179,0.1992,0.7776,0.3149,-1.3302,,0.1992
180,0.1756,0.7904,0.3406,-1.3302,,0.1756
181,0.1833,0.7776,0.3406,-1.3045,,0.1833
182,0.085,0.7776,0.3277,-1.3174,,0.085
183,0.0031,0.7904,0.3277,-1.3045,,0.0031
184,0.0049,0.7904,0.3277,-1.2917,,0.0049
185,-0.0691,0.8033,0.3277,-1.3174,,0.0691
186,-0.0664,0.8161,0.3406,-1.3045,,0.0664
187,-0.1583,0.8161,0.3277,-1.3045,,0.1583
188,-0.1858,0.8547,0.3406,-1.3045,,0.1858
189,-0.1836,0.829,0.3277,-1.2788,,0.1836
190,-0.0915,0.8418,0.3406,-1.266,,0.0915
191,0.0444,0.829,0.3277,-1.2788,,0.0444
192,0.0918,0.8418,0.3277,-1.2917,,0.0918
193,0.0423,0.8547,0.3149,-1.3045,,0.0423
194,0.0551,0.8418,0.3149,-1.266,,0.0551
195,-0.0191,0.8418,0.3277,-1.2788,,0.0191
196,-0.2583,0.8418,0.3277,-1.266,,0.2583
197,-0.3559,0.8418,0.3149,-1.2788,,0.3559
198,-0.1672,0.8418,0.3149,-1.2917,,0.1672
199,0.0924,0.8547,0.3149,-1.2917,,0.0924
200,0.1972,0.8547,0.3149,-1.2788,,0.1972
201,0.241,0.8418,0.302,-1.2788,,0.241
202,0.2518,0.8547,0.3149,-1.2788,,0.2518
203,0.2149,0.8547,0.3149,-1.266,,0.2149
204,0.2449,0.8418,0.3277,-1.2917,,0.2449
205,0.1291,0.8418,0.3277,-1.266,,0.1291
206,0.0644,0.829,0.3277,-1.266,,0.0644
207,-0.0583,0.8418,0.3277,-1.266,,0.0583
208,-0.1896,0.8161,0.3277,-1.266,,0.1896
209,-0.1427,0.8033,0.3277,-1.2403,,0.1427
210,-0.0697,0.8033,0.3277,-1.2403,,0.0697
211,-0.072,0.7776,0.3277,-1.2403,,0.072
212,-0.05,0.7647,0.3149,-1.266,,0.05
213,-0.0473,0.7647,0.3277,-1.2274,,0.0473
214,-0.0445,0.7519,0.3149,-1.2531,,0.0445
215,-0.0907,0.7519,0.3149,-1.2531,,0.0907
216,-0.1641,0.7262,0.3149,-1.2403,,0.1641
217,-0.1338,0.7262,0.3149,-1.266,,0.1338
218,-0.0302,0.739,0.302,-1.2403,,0.0302
219,0.082,0.7262,0.302,-1.2274,,0.082
220,0.1279,0.7133,0.302,-1.2274,,0.1279
221,0.1737,0.7005,0.302,-1.2274,,0.1737
222,0.1543,0.7005,0.3149,-1.2274,,0.1543
223,0.1105,0.7005,0.2892,-1.266,,0.1105
224,0.0713,0.6876,0.2892,-1.2274,,0.0713
225,0.0743,0.6876,0.2892,-1.2403,,0.0743
226,0.0627,0.6876,0.2892,-1.2146,,0.0627
227,0.0355,0.6876,0.2892,-1.2403,,0.0355
228,0.0126,0.6748,0.2763,-1.2403,,0.0126
229,0.0404,0.6876,0.2892,-1.2274,,0.0404
230,0.0906,0.6619,0.2635,-1.176,,0.0906
231,0.1698,0.6876,0.2763,-1.2017,,0.1698
232,0.1644,0.6748,0.2635,-1.1889,,0.1644
233,0.0949,0.7005,0.2635,-1.2017,,0.0949
234,0.0442,0.6876,0.2635,-1.176,,0.0442
235,0.0129,0.6876,0.2892,-1.1889,,0.0129
236,-0.0511,0.7133,0.2763,-1.1889,,0.0511
237,-0.0661,0.7133,0.2892,-1.2146,,0.0661
238,-0.0488,0.7262,0.2763,-1.2017,,0.0488
239,0.007,0.739,0.2763,-1.2017,,0.007
240,0.0397,0.739,0.2763,-1.2017,,0.0397
241,0.0364,0.7519,0.2892,-1.2017,,0.0364
242,0.0253,0.7519,0.2763,-1.1889,,0.0253
243,0.1096,0.7647,0.2763,-1.2017,,0.1096
244,0.2167,0.7776,0.2763,-1.1889,,0.2167
